Periode;Production.Totale.Brute;Production.Totale.Nette;Production brute d'électricité primaire (en GWh);Production nette d'électricité primaire (en GWh);Production.Brute.Nucléaire;Production nette d'électricité nucléaire (en GWh);Production brute d'électricité hydraulique (en GWh);Production nette d'électricité hydraulique (en GWh);Production brute d'électricité éolienne (en GWh);Production nette d'électricité éolienne (en GWh);Production brute d'électricité photovoltaïque (en GWh);Production nette d'électricité photovoltaïque (en GWh);Production brute d'électricité thermique (en GWh);Production nette d'électricité thermique (en GWh);Électricité absorbée pour les pompages (en GWh);Total des importations physiques d'électricité (en GWh);Total des exportations physiques d'électricité (en GWh);Energie appelée réelle yc pertes (consommation calculée yc pertes) (en GWh);Livraisons en basse tension (BT : FC + Corse) (en GWh);Livraisons en moyenne tension (MT : FC + Corse) (en GWh);Livraisons en haute tension (en GWh);Energie appelée réelle yc pertes corrigée du climat (en GWh);Livraisons en basse tension corrigées du climat (en GWh);Livraisons en moyenne tension corrigées du climat (en GWh);Consommation d'électricité primaire (en GWh);Consommation d'électricité primaire corrigée du climat (en GWh);Puissance maximale appelée (en GW);Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période 1986-2015) (sans unité)
sept-13;40181.8457;38406.43054;36717.74344;35138.40954;31284;29754.98;4107.886073;4057.572178;899.654138;899.654138;426.203226;426.203226;3464.10226;3268.021;503.61;400.47;5304.49;32998.80054;11229.89;12465.64295;6622.957;32998.80054;11229.89;12465.64295;29730.77954;29730.77954;56.53;1
oct-13;43339.06823;41430.12779;39391.77981;37706.27079;32717.95;31091.53;4824.332343;4765.243326;1543.38787;1543.38787;306.109596;306.109596;3947.28842;3723.857;588.35;733.96;4836.33;36739.40779;13498.64;13315.49509;6934.377;39214.80983;15549.3332;13538.68545;33015.55079;35852.55715;63.64;0.670292421
nov-13;50648.96355;48520.96704;44546.82657;42764.23404;36336;34630.82;6320.358431;6242.945902;1714.190421;1714.190421;176.277718;176.277718;6102.13698;5756.733;694.81;1513.97;4104.77;45235.35704;19993.27;13891.99122;6871.548;44487.29868;19374.51112;13836.75361;39478.62404;38736.3561;84.9;1.07984187
déc-13;55870.11052;53598.85172;50086.57138;48142.68272;42300;40426.05;5710.153167;5640.214507;1916.405655;1916.405655;160.012555;160.012555;5783.53914;5456.169;632.65;1722.77;4517.54;50171.43172;23784.56;14389.40097;6776.25;50698.90098;24224.40386;14422.1339;44715.26272;45207.7667;84.21;0.954607359
janv-14;58289.80308;55988.1143;53985.72078;51927.6593;44669;42697.31;7051.813242;6965.441764;2099.95592;2099.95592;164.951618;164.951618;4304.0823;4060.455;805.31;787.97;6669.89;49300.8843;22651.09;14869.2853;6993.372;51785.96792;24736.50724;15027.64899;45240.4293;47650.75434;82.27;0.789236894
févr-14;51464.80539;49473.17436;47810.03881;46025.28136;38094;36396.34;7111.085232;7023.987783;2356.767398;2356.767398;248.18618;248.18618;3654.76658;3447.893;640.18;1172.22;5491.28;44513.93436;20306.76;13446.00767;6457.386;46716.53843;22154.73542;13587.67997;41066.04136;43229.56549;80.19;0.791469477
mars-14;50363.33423;48328.39877;46282.99355;44479.02077;37515;35797.55;7064.16691;6977.644123;1239.346611;1239.346611;464.480032;464.480032;4080.34068;3849.378;664.37;994.41;5559.38;43099.05877;18523.33;13610.8601;6923.622;44294.23736;19519.08971;13698.2113;39249.68077;40489.0003;76.26;0.872463352
avr-14;42340.02628;40585.04314;40224.9786;38589.71514;32771;31208.05;5904.044245;5831.730783;1006.101351;1006.101351;543.833004;543.833004;2115.04768;1995.328;511.64;655.71;4675.74;36053.37314;13628.51;12604.65632;6753.221;38162.11647;15376.20184;12786.32138;34058.04514;36550.70362;60.88;0.715844677
mai-14;42805.70741;41591.54843;41070.08779;39954.17143;32753;31713.27;6220.247964;6144.0616;1461.57261;1461.57261;635.267218;635.267218;1735.61962;1637.377;713.99;268.93;6710.51;34435.97843;12793.66;12098.3678;6753.574;33920.07054;12371.00447;12046.9199;32798.60143;32139.76806;58.14;1.085412534
juin-14;40891.0603;39106.76739;39326.12506;37630.41339;32628;30994.88;5110.306568;5047.714903;902.312214;902.312214;685.506275;685.506275;1564.93524;1476.354;653.47;285.06;6436.43;32301.92739;10783.87;12453.04771;6496.743;32301.92739;10783.87;12453.04771;30825.57339;30825.57339;56.06;1
juil-14;44432.4348;42491.18931;43001.80156;41141.53531;35178;33394.06;6231.668577;6155.342332;910.814094;910.814094;681.318885;681.318885;1430.63324;1349.654;661.99;174.57;8339.82;33663.94931;10951.88;13081.86491;6853.635;33663.94931;10951.88;13081.86491;32314.29531;32314.29531;57.2;1
août-14;40981.67212;39145.63715;39609.43534;37851.07415;32683;30989.96;5333.158975;5267.837786;933.501708;933.501708;659.774658;659.774658;1372.23678;1294.563;582.11;181.55;7977.9;30767.17715;10780.45;11400.15519;5986.635;30767.17715;10780.45;11400.15519;29472.61415;29472.61415;54.33;1
sept-14;40634.16441;38895.98786;38541.18381;36921.47786;33512;31938.66;3785.555527;3739.189576;678.342058;678.342058;565.286221;565.286221;2092.9806;1974.51;604.13;590.78;5928;32954.63786;10953.65;12628.69352;6709.352;32954.63786;10953.65;12628.69352;30980.12786;30980.12786;55.47;1
